name,description,price,discount_price,stock,image_url,preparation_steps,rating,category_ids,ingredients
Smoky Jollof Rice,"A rich, flavorful Nigerian classic known for its signature smoky aroma and deep red color. Cooked with blended tomatoes, peppers, and aromatic spices over firewood or low heat to achieve the beloved party-style smokiness.",2500.0,2000.0,100,,"1. Blend tomatoes, tatashe, scotch bonnet, and onions.
2. Parboil long-grain rice and set aside.
3. Heat oil, fry onions until golden, add tomato paste and fry.
4. Pour in blended pepper mix and cook until oil floats.
5. Add stock, seasoning cubes, thyme, curry, and bay leaves.
6. Stir in parboiled rice, reduce heat to lowest setting.
7. Cover tightly and cook for 30-40 mins until smoky and done.",4.8,1,[]
Fried Rice,A colorful and savory stir-fried rice dish loaded with diced vegetables and seasoned protein. A Nigerian party staple served alongside grilled or fried chicken.,2500.0,2200.0,100,,"1. Cook long-grain rice until fluffy, spread to cool.
2. Dice carrots, green beans, green peas, and sweet corn.
3. Fry liver or chicken pieces separately, season and set aside.
4. Scramble eggs in a wok, set aside.
5. Stir-fry vegetables with soy sauce and seasoning.
6. Add rice, toss everything together on high heat.
7. Garnish with spring onions and serve hot.",4.5,1,[]
Seafood Fried Rice,"An elevated version of classic fried rice featuring a medley of prawns, calamari, and crab sticks. Rich in umami flavor with a hint of sesame and oyster sauce.",3500.0,3000.0,100,,"1. Cook and cool long-grain rice.
2. Clean and devein prawns, slice calamari into rings.
3. Stir-fry seafood in hot oil with garlic and ginger, set aside.
4. Scramble eggs in the wok.
5. Sauté diced vegetables (carrots, peas, sweet corn).
6. Add rice, oyster sauce, soy sauce, and sesame oil.
7. Toss in seafood, mix thoroughly, and serve hot.",4.9,1,[]
Coconut Rice,"A creamy and aromatic rice dish cooked in rich coconut milk. Mildly sweet with a subtle tropical flavor, perfect as a main or side dish.",2800.0,2500.0,100,,"1. Sauté onions and garlic in coconut oil until fragrant.
2. Add coconut milk and chicken or vegetable broth.
3. Season with salt, white pepper, and a pinch of nutmeg.
4. Stir in washed long-grain rice.
5. Bring to a boil, then reduce heat and cover tightly.
6. Simmer for 20-25 minutes until liquid is absorbed.
7. Fluff with a fork and garnish with toasted coconut flakes.",4.7,1,[]
Native Rice (Concoction Rice),"A traditional village-style one-pot rice dish cooked with palm oil, locust beans (dawadawa), crayfish, and assorted proteins. Deeply flavorful and rustic.",2200.0,2000.0,100,,"1. Heat palm oil in a large pot, fry sliced onions.
2. Add locust beans (iru/dawadawa) and ground crayfish.
3. Pour in water or stock, add smoked fish and dried prawns.
4. Season with salt, seasoning cubes, and ground pepper.
5. Add washed rice directly into the pot.
6. Cook on medium heat, stirring occasionally.
7. When rice is almost done, add scent leaves, cover and steam.",4.6,1,[]
Curry Rice,"A vibrant, spiced rice dish with a warm curry profile. Turmeric and curry powder give it a golden hue and aromatic depth.",2000.0,1800.0,100,,"1. Sauté diced onions in vegetable oil until translucent.
2. Add curry powder and turmeric, stir for 1 minute.
3. Pour in water or chicken stock.
4. Season with salt, thyme, and a bay leaf.
5. Add washed rice and bring to a boil.
6. Reduce heat, cover, and cook until rice is soft.
7. Fluff and serve with stew or grilled meat.",4.4,1,[]
Carrot Rice,"A healthy and visually appealing rice dish naturally colored and flavored with grated carrots. Light, nutritious, and kid-friendly.",2200.0,2000.0,100,,"1. Sauté diced onions and minced garlic in butter.
2. Add grated carrots and stir-fry for 2-3 minutes.
3. Pour in chicken stock or water.
4. Add washed rice, salt, and white pepper.
5. Bring to a boil, cover, and reduce heat.
6. Cook until rice is fluffy and carrots are tender.
7. Garnish with fresh parsley.",4.3,1,[]
Ginger Rice,"A refreshing and zesty rice dish with a prominent ginger flavor. Warm and slightly spicy, perfect for cold evenings.",2200.0,2000.0,100,,"1. Fry sliced onions in vegetable oil.
2. Add a generous amount of freshly grated ginger and garlic.
3. Stir-fry for 1-2 minutes until fragrant.
4. Pour in chicken stock.
5. Add washed rice and season with salt.
6. Cover and cook on low heat until tender.
7. Serve with a squeeze of fresh lime.",4.2,1,[]
Turmeric Rice,A simple yet elegant golden rice dish flavored with earthy turmeric. Anti-inflammatory and vibrant in color.,2000.0,1800.0,100,,"1. Sauté onions in oil or butter.
2. Stir in turmeric powder and a pinch of black pepper.
3. Add chicken or vegetable stock.
4. Pour in washed rice and bring to a boil.
5. Reduce heat, cover, and simmer until done.
6. Fluff with a fork.
7. Garnish with fresh cilantro or toasted cashews.",4.2,1,[]
Garlic Rice,"A savory, butter-infused rice dish featuring roasted garlic notes. Simple, aromatic, and pairs well with any protein.",2200.0,2000.0,100,,"1. Mince 6-8 cloves of garlic.
2. Sauté onions in butter until soft.
3. Add minced garlic and fry until golden (not burnt).
4. Pour in chicken stock and season with salt.
5. Add washed rice and bring to a boil.
6. Cover and cook on low heat until aromatic and soft.
7. Finish with a drizzle of butter and chopped parsley.",4.5,1,[]
